TimeSeries ID,pod/network/received_bytes_count.k8s_pod.ALIGN_RATE.REDUCE_NONE.metric.type="kubernetes.io/pod/network/received_bytes_count" resource.type="k8s_pod" resource.labels.cluster_name="online-boutique" AND resource.labels.project_id="cnae-422614" AND resource.labels.location="us-central1" AND resource.labels.namespace_name="default" AND metadata.system_labels.service_name="frontend-external".cluster_name:online-boutique.location:us-central1.namespace_name:default.pod_name:frontend-6ccf88564c-svq69.project_id:cnae-422614
location,us-central1
pod_name,frontend-6ccf88564c-svq69
cluster_name,online-boutique
project_id,cnae-422614
namespace_name,default
Wed Jun 19 2024 06:05:00 GMT+0200 (Mitteleuropäische Sommerzeit),21376.329399431947
Wed Jun 19 2024 06:10:00 GMT+0200 (Mitteleuropäische Sommerzeit),21384.12054355701
Wed Jun 19 2024 06:15:00 GMT+0200 (Mitteleuropäische Sommerzeit),21868.71490585685
Wed Jun 19 2024 06:20:00 GMT+0200 (Mitteleuropäische Sommerzeit),22230.013568205835
Wed Jun 19 2024 06:25:00 GMT+0200 (Mitteleuropäische Sommerzeit),21842.202077882688
Wed Jun 19 2024 06:30:00 GMT+0200 (Mitteleuropäische Sommerzeit),21426.806164629063
Wed Jun 19 2024 06:35:00 GMT+0200 (Mitteleuropäische Sommerzeit),22108.4058008643
Wed Jun 19 2024 06:40:00 GMT+0200 (Mitteleuropäische Sommerzeit),22115.29156910976
Wed Jun 19 2024 06:45:00 GMT+0200 (Mitteleuropäische Sommerzeit),21339.084112065237
Wed Jun 19 2024 06:50:00 GMT+0200 (Mitteleuropäische Sommerzeit),22370.17592855533
Wed Jun 19 2024 06:55:00 GMT+0200 (Mitteleuropäische Sommerzeit),21136.85154577176
Wed Jun 19 2024 07:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),21816.926735594276
Wed Jun 19 2024 07:05:00 GMT+0200 (Mitteleuropäische Sommerzeit),11757.704782496692
Wed Jun 19 2024 07:10:00 GMT+0200 (Mitteleuropäische Sommerzeit),11215.481177098354
Wed Jun 19 2024 07:15:00 GMT+0200 (Mitteleuropäische Sommerzeit),11891.273260956208
Wed Jun 19 2024 07:20:00 GMT+0200 (Mitteleuropäische Sommerzeit),12283.310430998803
Wed Jun 19 2024 07:25:00 GMT+0200 (Mitteleuropäische Sommerzeit),11809.688291453123
Wed Jun 19 2024 07:30:00 GMT+0200 (Mitteleuropäische Sommerzeit),11662.713527207376
Wed Jun 19 2024 07:35:00 GMT+0200 (Mitteleuropäische Sommerzeit),12218.198213177126
Wed Jun 19 2024 07:40:00 GMT+0200 (Mitteleuropäische Sommerzeit),11279.703922269346
Wed Jun 19 2024 07:45:00 GMT+0200 (Mitteleuropäische Sommerzeit),12247.702149553697
Wed Jun 19 2024 07:50:00 GMT+0200 (Mitteleuropäische Sommerzeit),12154.46540265123
Wed Jun 19 2024 07:55:00 GMT+0200 (Mitteleuropäische Sommerzeit),12087.146872074207
Wed Jun 19 2024 08:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),11745.095222298305
Wed Jun 19 2024 08:05:00 GMT+0200 (Mitteleuropäische Sommerzeit),25963.71169015368
Wed Jun 19 2024 08:10:00 GMT+0200 (Mitteleuropäische Sommerzeit),26114.984397299293
Wed Jun 19 2024 08:15:00 GMT+0200 (Mitteleuropäische Sommerzeit),26448.644796808563
Wed Jun 19 2024 08:20:00 GMT+0200 (Mitteleuropäische Sommerzeit),25911.889742681586
Wed Jun 19 2024 08:25:00 GMT+0200 (Mitteleuropäische Sommerzeit),26300.42656564991
Wed Jun 19 2024 08:30:00 GMT+0200 (Mitteleuropäische Sommerzeit),26964.21686642925
Wed Jun 19 2024 08:35:00 GMT+0200 (Mitteleuropäische Sommerzeit),27161.221814136905
Wed Jun 19 2024 08:40:00 GMT+0200 (Mitteleuropäische Sommerzeit),26065.319477997225
Wed Jun 19 2024 08:45:00 GMT+0200 (Mitteleuropäische Sommerzeit),27076.112145908675
Wed Jun 19 2024 08:50:00 GMT+0200 (Mitteleuropäische Sommerzeit),25852.01540050189
Wed Jun 19 2024 08:55:00 GMT+0200 (Mitteleuropäische Sommerzeit),26794.01152530432
Wed Jun 19 2024 09:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),25829.454412088395
Wed Jun 19 2024 09:05:00 GMT+0200 (Mitteleuropäische Sommerzeit),12966.186729831696
Wed Jun 19 2024 09:10:00 GMT+0200 (Mitteleuropäische Sommerzeit),11720.094916259448
Wed Jun 19 2024 09:15:00 GMT+0200 (Mitteleuropäische Sommerzeit),141902.7295639046
Wed Jun 19 2024 09:20:00 GMT+0200 (Mitteleuropäische Sommerzeit),192757.0169544395
Wed Jun 19 2024 09:25:00 GMT+0200 (Mitteleuropäische Sommerzeit),219544.46001702786
Wed Jun 19 2024 09:30:00 GMT+0200 (Mitteleuropäische Sommerzeit),81172.82041486978
Wed Jun 19 2024 09:35:00 GMT+0200 (Mitteleuropäische Sommerzeit),134196.23802255234
Wed Jun 19 2024 09:40:00 GMT+0200 (Mitteleuropäische Sommerzeit),52664.47923018059
Wed Jun 19 2024 09:45:00 GMT+0200 (Mitteleuropäische Sommerzeit),119933.53351828655
Wed Jun 19 2024 09:50:00 GMT+0200 (Mitteleuropäische Sommerzeit),57021.62675300678
Wed Jun 19 2024 09:55:00 GMT+0200 (Mitteleuropäische Sommerzeit),152228.28961643935
Wed Jun 19 2024 10:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),52333.711443018125
Wed Jun 19 2024 10:05:00 GMT+0200 (Mitteleuropäische Sommerzeit),68871.71289717595
Wed Jun 19 2024 10:10:00 GMT+0200 (Mitteleuropäische Sommerzeit),8334.716203332742
Wed Jun 19 2024 10:15:00 GMT+0200 (Mitteleuropäische Sommerzeit),11675.107777195772
Wed Jun 19 2024 10:20:00 GMT+0200 (Mitteleuropäische Sommerzeit),11138.051508306662
Wed Jun 19 2024 10:25:00 GMT+0200 (Mitteleuropäische Sommerzeit),11798.160055600008
Wed Jun 19 2024 10:30:00 GMT+0200 (Mitteleuropäische Sommerzeit),12219.408560689291
Wed Jun 19 2024 10:35:00 GMT+0200 (Mitteleuropäische Sommerzeit),11644.549608676434
Wed Jun 19 2024 10:40:00 GMT+0200 (Mitteleuropäische Sommerzeit),11797.6533914574
Wed Jun 19 2024 10:45:00 GMT+0200 (Mitteleuropäische Sommerzeit),11785.430550629299
Wed Jun 19 2024 10:50:00 GMT+0200 (Mitteleuropäische Sommerzeit),12148.173092497986
Wed Jun 19 2024 10:55:00 GMT+0200 (Mitteleuropäische Sommerzeit),11661.107288834255
Wed Jun 19 2024 11:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),172431.78300133228
Wed Jun 19 2024 11:05:00 GMT+0200 (Mitteleuropäische Sommerzeit),194792.5124291428
Wed Jun 19 2024 11:10:00 GMT+0200 (Mitteleuropäische Sommerzeit),161990.42162299078
Wed Jun 19 2024 11:15:00 GMT+0200 (Mitteleuropäische Sommerzeit),13088.435866762798
Wed Jun 19 2024 11:20:00 GMT+0200 (Mitteleuropäische Sommerzeit),84063.30669103384
Wed Jun 19 2024 11:25:00 GMT+0200 (Mitteleuropäische Sommerzeit),170433.30649372737
Wed Jun 19 2024 11:30:00 GMT+0200 (Mitteleuropäische Sommerzeit),128694.48978964012
Wed Jun 19 2024 11:35:00 GMT+0200 (Mitteleuropäische Sommerzeit),114257.30319979986
Wed Jun 19 2024 11:40:00 GMT+0200 (Mitteleuropäische Sommerzeit),12268.414593402546
Wed Jun 19 2024 11:45:00 GMT+0200 (Mitteleuropäische Sommerzeit),11994.604685067337
Wed Jun 19 2024 11:50:00 GMT+0200 (Mitteleuropäische Sommerzeit),11664.128299314976
Wed Jun 19 2024 11:55:00 GMT+0200 (Mitteleuropäische Sommerzeit),11536.562627396585
Wed Jun 19 2024 12:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),11246.247650163969
Wed Jun 19 2024 12:05:00 GMT+0200 (Mitteleuropäische Sommerzeit),11619.117504831156
Wed Jun 19 2024 12:10:00 GMT+0200 (Mitteleuropäische Sommerzeit),10949.361827856701
Wed Jun 19 2024 12:15:00 GMT+0200 (Mitteleuropäische Sommerzeit),11791.005749445758
Wed Jun 19 2024 12:20:00 GMT+0200 (Mitteleuropäische Sommerzeit),11490.23324946642
Wed Jun 19 2024 12:25:00 GMT+0200 (Mitteleuropäische Sommerzeit),11389.213357976278
Wed Jun 19 2024 12:30:00 GMT+0200 (Mitteleuropäische Sommerzeit),11512.726628375849
Wed Jun 19 2024 12:35:00 GMT+0200 (Mitteleuropäische Sommerzeit),11881.363486161234
Wed Jun 19 2024 12:40:00 GMT+0200 (Mitteleuropäische Sommerzeit),11972.813142299652
Wed Jun 19 2024 12:45:00 GMT+0200 (Mitteleuropäische Sommerzeit),11300.73354379654
Wed Jun 19 2024 12:50:00 GMT+0200 (Mitteleuropäische Sommerzeit),11848.22677048286
Wed Jun 19 2024 12:55:00 GMT+0200 (Mitteleuropäische Sommerzeit),12404.451362119516
Wed Jun 19 2024 13:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),11414.517995433807
Wed Jun 19 2024 13:05:00 GMT+0200 (Mitteleuropäische Sommerzeit),12066.976518387795
Wed Jun 19 2024 13:10:00 GMT+0200 (Mitteleuropäische Sommerzeit),12369.583578044574
Wed Jun 19 2024 13:15:00 GMT+0200 (Mitteleuropäische Sommerzeit),11755.943967272442
Wed Jun 19 2024 13:20:00 GMT+0200 (Mitteleuropäische Sommerzeit),11791.100863808791
Wed Jun 19 2024 13:25:00 GMT+0200 (Mitteleuropäische Sommerzeit),12416.547382442952
Wed Jun 19 2024 13:30:00 GMT+0200 (Mitteleuropäische Sommerzeit),12440.686195867062
Wed Jun 19 2024 13:35:00 GMT+0200 (Mitteleuropäische Sommerzeit),11996.87220984618
