TimeSeries ID,pod/network/received_bytes_count.k8s_pod.ALIGN_RATE.REDUCE_NONE.metric.type="kubernetes.io/pod/network/received_bytes_count" resource.type="k8s_pod" resource.labels.cluster_name="online-boutique" AND resource.labels.project_id="cnae-422614" AND resource.labels.location="us-central1" AND resource.labels.namespace_name="default" AND metadata.system_labels.service_name="frontend-external".cluster_name:online-boutique.location:us-central1.namespace_name:default.pod_name:frontend-6ccf88564c-svq69.project_id:cnae-422614
location,us-central1
pod_name,frontend-6ccf88564c-svq69
cluster_name,online-boutique
project_id,cnae-422614
namespace_name,default
Tue Jun 18 2024 21:55:00 GMT+0200 (Mitteleuropäische Sommerzeit),11888.374007762075
Tue Jun 18 2024 22:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),11244.49869259735
Tue Jun 18 2024 22:05:00 GMT+0200 (Mitteleuropäische Sommerzeit),11980.397975632151
Tue Jun 18 2024 22:10:00 GMT+0200 (Mitteleuropäische Sommerzeit),11205.02088912785
Tue Jun 18 2024 22:15:00 GMT+0200 (Mitteleuropäische Sommerzeit),11934.905857964159
Tue Jun 18 2024 22:20:00 GMT+0200 (Mitteleuropäische Sommerzeit),11115.427041225632
Tue Jun 18 2024 22:25:00 GMT+0200 (Mitteleuropäische Sommerzeit),12074.644745134712
Tue Jun 18 2024 22:30:00 GMT+0200 (Mitteleuropäische Sommerzeit),11548.223175211948
Tue Jun 18 2024 22:35:00 GMT+0200 (Mitteleuropäische Sommerzeit),77422.88467194498
Tue Jun 18 2024 22:40:00 GMT+0200 (Mitteleuropäische Sommerzeit),193736.65071979366
Tue Jun 18 2024 22:45:00 GMT+0200 (Mitteleuropäische Sommerzeit),45583.48213725686
Tue Jun 18 2024 22:50:00 GMT+0200 (Mitteleuropäische Sommerzeit),13816.840106323361
Tue Jun 18 2024 22:55:00 GMT+0200 (Mitteleuropäische Sommerzeit),24121.716435493432
Tue Jun 18 2024 23:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),24899.060823766195
Tue Jun 18 2024 23:05:00 GMT+0200 (Mitteleuropäische Sommerzeit),25451.057622104487
Tue Jun 18 2024 23:10:00 GMT+0200 (Mitteleuropäische Sommerzeit),25343.100985621215
Tue Jun 18 2024 23:15:00 GMT+0200 (Mitteleuropäische Sommerzeit),24857.18764585535
Tue Jun 18 2024 23:20:00 GMT+0200 (Mitteleuropäische Sommerzeit),24115.85597336511
Tue Jun 18 2024 23:25:00 GMT+0200 (Mitteleuropäische Sommerzeit),25286.17888257921
Tue Jun 18 2024 23:30:00 GMT+0200 (Mitteleuropäische Sommerzeit),24929.671455321113
Tue Jun 18 2024 23:35:00 GMT+0200 (Mitteleuropäische Sommerzeit),23450.172408833703
Tue Jun 18 2024 23:40:00 GMT+0200 (Mitteleuropäische Sommerzeit),25005.987503506345
Tue Jun 18 2024 23:45:00 GMT+0200 (Mitteleuropäische Sommerzeit),25819.17216723442
Tue Jun 18 2024 23:50:00 GMT+0200 (Mitteleuropäische Sommerzeit),23476.67520908634
Tue Jun 18 2024 23:55:00 GMT+0200 (Mitteleuropäische Sommerzeit),12218.37305109024
Wed Jun 19 2024 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),12739.578813450536
Wed Jun 19 2024 00:05:00 GMT+0200 (Mitteleuropäische Sommerzeit),25245.71136796832
Wed Jun 19 2024 00:10:00 GMT+0200 (Mitteleuropäische Sommerzeit),26362.667850893937
Wed Jun 19 2024 00:15:00 GMT+0200 (Mitteleuropäische Sommerzeit),26368.8363992097
Wed Jun 19 2024 00:20:00 GMT+0200 (Mitteleuropäische Sommerzeit),25931.805777058205
Wed Jun 19 2024 00:25:00 GMT+0200 (Mitteleuropäische Sommerzeit),26644.33541744709
Wed Jun 19 2024 00:30:00 GMT+0200 (Mitteleuropäische Sommerzeit),26764.416342647077
Wed Jun 19 2024 00:35:00 GMT+0200 (Mitteleuropäische Sommerzeit),26491.81495521466
Wed Jun 19 2024 00:40:00 GMT+0200 (Mitteleuropäische Sommerzeit),26273.05682247917
Wed Jun 19 2024 00:45:00 GMT+0200 (Mitteleuropäische Sommerzeit),26324.598586169483
Wed Jun 19 2024 00:50:00 GMT+0200 (Mitteleuropäische Sommerzeit),26230.3513608106
Wed Jun 19 2024 00:55:00 GMT+0200 (Mitteleuropäische Sommerzeit),27416.708469776313
Wed Jun 19 2024 01:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),25779.771257114808
Wed Jun 19 2024 01:05:00 GMT+0200 (Mitteleuropäische Sommerzeit),12553.86027208527
Wed Jun 19 2024 01:10:00 GMT+0200 (Mitteleuropäische Sommerzeit),12174.3218545719
Wed Jun 19 2024 01:15:00 GMT+0200 (Mitteleuropäische Sommerzeit),11942.499552939733
Wed Jun 19 2024 01:20:00 GMT+0200 (Mitteleuropäische Sommerzeit),11690.469601182542
Wed Jun 19 2024 01:25:00 GMT+0200 (Mitteleuropäische Sommerzeit),11654.203186167082
Wed Jun 19 2024 01:30:00 GMT+0200 (Mitteleuropäische Sommerzeit),11124.460881334544
