TimeSeries ID,container/cpu/request_utilization.k8s_container.ALIGN_MEAN.REDUCE_PERCENTILE_50.metric.type="kubernetes.io/container/cpu/request_utilization" resource.type="k8s_container" resource.labels.cluster_name="online-boutique" AND resource.labels.project_id="cnae-422614" AND resource.labels.location="us-central1" AND resource.labels.namespace_name="default" AND metadata.system_labels.service_name="frontend".pod_name:frontend-6ccf88564c-svq69.project_id:cnae-422614
pod_name,frontend-6ccf88564c-svq69
project_id,cnae-422614
Tue Jun 18 2024 17:15:00 GMT+0200 (Mitteleuropäische Sommerzeit),0.034308308703255824
Tue Jun 18 2024 17:20:00 GMT+0200 (Mitteleuropäische Sommerzeit),0.08327527016540254
Tue Jun 18 2024 17:25:00 GMT+0200 (Mitteleuropäische Sommerzeit),0.09372705022629073
Tue Jun 18 2024 17:30:00 GMT+0200 (Mitteleuropäische Sommerzeit),0.17959072044106142
Tue Jun 18 2024 17:35:00 GMT+0200 (Mitteleuropäische Sommerzeit),0.17435992275831205
Tue Jun 18 2024 17:40:00 GMT+0200 (Mitteleuropäische Sommerzeit),0.09099713614202984
Tue Jun 18 2024 17:45:00 GMT+0200 (Mitteleuropäische Sommerzeit),0.08084977685961411
Tue Jun 18 2024 17:50:00 GMT+0200 (Mitteleuropäische Sommerzeit),0.08327527016540254
Tue Jun 18 2024 17:55:00 GMT+0200 (Mitteleuropäische Sommerzeit),0.08577352827036464
Tue Jun 18 2024 18:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),0.08834673411847557
Tue Jun 18 2024 18:05:00 GMT+0200 (Mitteleuropäische Sommerzeit),0.08577352827036464
Tue Jun 18 2024 18:10:00 GMT+0200 (Mitteleuropäische Sommerzeit),0.08834673411847557
Tue Jun 18 2024 18:15:00 GMT+0200 (Mitteleuropäische Sommerzeit),0.08834673411847557
Tue Jun 18 2024 18:20:00 GMT+0200 (Mitteleuropäische Sommerzeit),0.10549062076500273
Tue Jun 18 2024 18:25:00 GMT+0200 (Mitteleuropäische Sommerzeit),0.23432515609607155
Tue Jun 18 2024 18:30:00 GMT+0200 (Mitteleuropäische Sommerzeit),0.09099713614202984
Tue Jun 18 2024 18:35:00 GMT+0200 (Mitteleuropäische Sommerzeit),0.08577352827036464
Tue Jun 18 2024 18:40:00 GMT+0200 (Mitteleuropäische Sommerzeit),0.08834673411847557
Tue Jun 18 2024 18:45:00 GMT+0200 (Mitteleuropäische Sommerzeit),0.08327527016540254
Tue Jun 18 2024 18:50:00 GMT+0200 (Mitteleuropäische Sommerzeit),0.08577352827036464
Tue Jun 18 2024 18:55:00 GMT+0200 (Mitteleuropäische Sommerzeit),0.08327527016540254
Tue Jun 18 2024 19:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),0.08084977685961411
Tue Jun 18 2024 19:05:00 GMT+0200 (Mitteleuropäische Sommerzeit),0.08577352827036464
Tue Jun 18 2024 19:10:00 GMT+0200 (Mitteleuropäische Sommerzeit),0.09099713614202984
Tue Jun 18 2024 19:15:00 GMT+0200 (Mitteleuropäische Sommerzeit),0.08084977685961411
Tue Jun 18 2024 19:20:00 GMT+0200 (Mitteleuropäische Sommerzeit),0.08327527016540254
Tue Jun 18 2024 19:25:00 GMT+0200 (Mitteleuropäische Sommerzeit),0.08577352827036464
Tue Jun 18 2024 19:30:00 GMT+0200 (Mitteleuropäische Sommerzeit),0.08577352827036464
Tue Jun 18 2024 19:35:00 GMT+0200 (Mitteleuropäische Sommerzeit),0.08327527016540254
Tue Jun 18 2024 19:40:00 GMT+0200 (Mitteleuropäische Sommerzeit),0.07849492898991661
Tue Jun 18 2024 19:45:00 GMT+0200 (Mitteleuropäische Sommerzeit),0.18497844205429326
Tue Jun 18 2024 19:50:00 GMT+0200 (Mitteleuropäische Sommerzeit),0.16435094990886231
Tue Jun 18 2024 19:55:00 GMT+0200 (Mitteleuropäische Sommerzeit),0.1595640290377304
Tue Jun 18 2024 20:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),0.09099713614202984
Tue Jun 18 2024 20:05:00 GMT+0200 (Mitteleuropäische Sommerzeit),0.08834673411847557
Tue Jun 18 2024 20:10:00 GMT+0200 (Mitteleuropäische Sommerzeit),0.08327527016540254
Tue Jun 18 2024 20:15:00 GMT+0200 (Mitteleuropäische Sommerzeit),0.08577352827036464
Tue Jun 18 2024 20:20:00 GMT+0200 (Mitteleuropäische Sommerzeit),0.08577352827036464
Tue Jun 18 2024 20:25:00 GMT+0200 (Mitteleuropäische Sommerzeit),0.08834673411847557
Tue Jun 18 2024 20:30:00 GMT+0200 (Mitteleuropäische Sommerzeit),0.08834673411847557
Tue Jun 18 2024 20:35:00 GMT+0200 (Mitteleuropäische Sommerzeit),0.08327527016540254
Tue Jun 18 2024 20:40:00 GMT+0200 (Mitteleuropäische Sommerzeit),0.09099713614202984
